comparison,baseline_method,baseline,scale,metric,expected_pairs,n_valid_pairs,missing_full_rows,missing_baseline_rows,missing_pair_count,mean_difference,median_difference,min_difference,max_difference,full_better_share
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,300,vkm_per_served_trip,20,20,0,0,0,-3.2208756331691317,-3.229996401519152,-5.438226312472597,-0.3039128190292928,1.0
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,300,vkm_per_served_trip,20,20,0,0,0,-3.262211020702833,-3.0629696619750737,-5.512281361979145,-0.5371958027625521,1.0
BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,300,vkm_per_original_request,20,20,0,0,0,-1.2809503706269179,-1.3037755028795583,-2.2844016403080714,0.0005328519140730403,0.95
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,300,vkm_per_original_request,20,20,0,0,0,-1.0082039130374805,-1.063724048071156,-1.7124974731159888,-0.21512581991456137,1.0
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,300,vkm_per_original_request,20,20,0,0,0,-0.9561311109235255,-0.9137898130421065,-1.4621071442533502,-0.3860887530069812,1.0
BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,300,avg_wait,20,20,0,0,0,-3966.21896139904,-3431.7299224182398,-7001.637558598641,-2041.9852945388698,1.0
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,300,avg_wait,20,20,0,0,0,-3429.7319455514507,-3132.4038773460843,-6330.913431858298,-1143.9570876018506,1.0
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,300,avg_wait,20,20,0,0,0,-3966.1289435021326,-3789.851402194159,-7032.588711674749,-1621.4156734830647,1.0
BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,300,avg_walk,20,20,0,0,0,73.49839698935486,59.44974013195187,18.4925496976097,200.31233609049025,0.0
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,300,avg_walk,20,20,0,0,0,-836.0750285073448,-828.7883437524825,-950.3140969494575,-722.24547319871,1.0
